,Модель экскаватора,Модель автосамосвала ,Вместимость кузова а/с в целике принятая                        ,Грузоподьемность а/с номинальная,Объем добычи,Прочие,Навалы,Принятая производительность экскаватора по вскрыше,Итого план,КИО,Часовая производительность,АС в ЧАС
0,PC 4000 №38,75306,96,220,,,426.2,73.80000000000001,500.0,0.6246110967072854,1150.1409571248207,11.980634970050216
1,PC 4000 №45,75306,96,220,,,68.833,451.16700000000003,520.0,0.6572776769509981,1136.6983285472352,11.8406075890337
2,PC 4000 №42,75306,96,220,,,153.3,436.7,590.0,0.7002686025408348,1210.5371372492104,12.609761846345942
3,PC 4000 №283,75306,96,220,,,106.4,393.6,500.0,0.638235675395385,1125.5886066736405,11.724881319517088
4,PC 4000 №284,75306,96,220,,,16.1,533.9,550.0,0.6123563218390804,1290.473955889254,13.442437040513063
5,ЭКГ-20 №30,75306,96,220,,,99.8,440.2,540.0,0.6030195882095251,1286.6283021903034,13.40237814781566
6,EX 3600 №27,75306,96,220,,,100.833,449.16700000000003,550.0,0.6528130671506353,1210.499490316004,12.60936969079171
7,EX 3600 №48,75306,96,220,,,179.5,290.5,470.0,0.5811627761436885,1161.9590655869517,12.103740266530748
8,EX 3600 №72,75306,96,220,,,,110.0,110.0,0.13092809312222284,1207.120437200262,12.574171220836062
9,EX 3600 №69,75306,96,220,,,70.0,110.0,180.0,0.25594843231741665,1010.440608342706,10.525423003569854
10,R 9400E №7,75306,96,220,,,108.5,331.5,440.0,0.5901477832512315,1071.2298274902616,11.158644036356892
11,EX 3600 №87,75306,96,220,,,18.3,541.7,560.0,0.6577288941736027,1223.2968754707888,12.74267578615405
12,EX 3600 №90,75306,96,220,,,21.1,528.9,550.0,0.6689404843857563,1181.3156827891603,12.305371695720419
13,WK-20 №97,75306,96,220,,,16.8,593.2,610.0,0.6719851054509044,1304.2503092700294,13.585940721562807
14,WK-20 №98,75306,96,220,,,45.6,564.4,610.0,0.6719851054509044,1304.2503092700294,13.585940721562807
15,PC 3000 №31,75131,55,130,,,85.4,254.6,340.0,0.5861705989110709,833.3849361157552,15.152453383922822
16,EX 2600 №51,75131,55,130,,,178.0,172.0,350.0,0.6686414311641172,752.0825659021436,13.674228470948066
17,PC 2000 №4,75131,55,130,,,10.8,239.2,250.0,0.6223820111884875,577.1301159764221,10.493274835934947
18,PC 2000 №8,75131,55,130,,,44.9,205.1,250.0,0.6184428845353958,580.8061039762719,10.56011098138676
19,PC 2000 №10,75131,55,130,,,11.8,238.2,250.0,0.6033979288056802,595.2877614442837,10.823413844441522
20,PC 2000 №15,75131,55,130,,,193.5,56.5,250.0,0.6193221196391868,579.9815490331841,10.545119073330621
21,PC 2000 №16,75131,55,130,,,72.6,187.4,260.0,0.5681359251122361,657.524373796652,11.95498861448458
22,PC 2000 №20,75131,55,130,,,26.5,233.5,260.0,0.6391232994641272,584.4931935731629,10.627148974057507
23,PC 2000 №43,75131,55,130,,,8.5,191.5,200.0,0.5143249012200797,558.7058319700541,10.158287854000983
24,PC 2000 №82,75131,55,130,,,260.0,0.0,260.0,0.5716429369956448,653.490481932869,11.881645126052163
25,PC 2000 №99,75131,55,130,,,250.0,0.0,250.0,0.6206378696286996,578.7519902930535,10.5227634598737
26,PC 2000 №94,75131,55,130,,,15.5,214.5,230.0,0.5716429369956448,578.087734017538,10.510686073046145
27,PC 1250 №3,HD785,40,90,152.1,,,40.0,153.50746268656715,0.6670250197630759,330.6573107867075,8.266432769667688
28,PC 1250 №05,HD785,40,90,136.5,,,50.0,151.86567164179104,0.6601484731675802,330.52837801177964,8.263209450294491
29,PC 1250 №17,HD785,40,90,129.6,,,50.0,146.71641791044775,0.6670042638258508,316.0391356595529,7.900978391488823
30,PC 1250 №18,HD785,40,90,,,,160.0,160.0,0.660189557084562,348.2106843471609,8.705267108679022
31,EX 1200 №49,HD785,40,90,,,,160.0,160.0,0.6601690151260711,348.2215193443511,8.705537983608778
32,EX 1200 №115,HD785,40,90,,80.0,,0.0,80.0,0.3163703585016832,363.31636528780757,9.082909132195189
34,SY 1250 №1,HD785,40,90,,,170.0,0.0,170.0,0.8048262174513405,303.485234783602,7.58713086959005
35,SY 1250 №2,HD785,40,90,,0.0,170.0,0.0,170.0,0.8048262174513405,303.485234783602,7.58713086959005
36,SY 1250 №3,HD785,40,90,,,170.0,0.0,170.0,0.8048262174513405,303.485234783602,7.58713086959005
37,SY 1250 №4,HD785,40,90,,,190.0,0.0,190.0,0.8048262174513405,339.1893800522611,8.479734501306528
38,SY 1250 №5,HD785,40,90,,,190.0,0.0,190.0,0.8048262174513405,339.1893800522611,8.479734501306528
39,EX 1900 №2,HD785,40,90,,,56.8,223.2,280.0,0.7327543973102123,549.0227722296411,13.725569305741027
40,EX 1900 №3,HD785,40,90,,,17.3,92.7,110.0,0.5613175194489551,281.5625230558416,7.03906307639604
